Task,Model,Feature,Importance
Fielding,CatBoost,Points vs Denmark,0.0
Fielding,CatBoost,Points vs Czech Republic,0.0
Fielding,CatBoost,Points vs Greece,0.0
Fielding,CatBoost,Points vs Finland,0.0
Fielding,CatBoost,Points vs Cayman Islands,0.0
Fielding,CatBoost,Points vs Bahamas,0.0
Fielding,CatBoost,Points vs Saudi Arabia,0.0
Fielding,CatBoost,Points vs Mongolia,0.0
Fielding,CatBoost,Points vs Maldives,0.0
Fielding,CatBoost,Points vs Hungary,0.0
Fielding,CatBoost,Points vs Mexico,0.0
Fielding,CatBoost,Points vs Luxembourg,0.0
Fielding,CatBoost,Points vs Switzerland,0.0
Fielding,CatBoost,Points vs Cook Islands,0.0
Fielding,CatBoost,Points vs Eswatini,0.0
Fielding,CatBoost,Points vs Ivory Coast,0.0
Fielding,CatBoost,Points vs Swaziland,0.0
Fielding,CatBoost,Points vs Iran,0.0
Fielding,CatBoost,Points vs Suriname,0.0
Fielding,CatBoost,Points vs Chile,0.0
Fielding,CatBoost,Points vs Costa Rica,0.0
Fielding,RandomForest,Avg Fielding Points (10),0.25257639168409496
Fielding,RandomForest,Role,0.16656687690392585
Fielding,RandomForest,Avg Fielding Points (3),0.12877024570094725
Fielding,RandomForest,Stumpings,0.11016741837886111
Fielding,RandomForest,Catches,0.07644372867497143
Fielding,RandomForest,Runouts,0.04289403225297633
Fielding,RandomForest,Games,0.024045109103550087
Fielding,RandomForest,Win %,0.0165006041117594
Fielding,RandomForest,Points vs Sri Lanka,0.008968292469304995
Fielding,RandomForest,Points vs West Indies,0.007758059931289806
Fielding,RandomForest,Points vs Bangladesh,0.007593049138361233
Fielding,RandomForest,Points vs England,0.007443848901818641
Fielding,RandomForest,Points vs Pakistan,0.007125820163493218
Fielding,RandomForest,Points vs South Africa,0.006914636126870693
Fielding,RandomForest,Points vs New Zealand,0.006728210864760835
Fielding,RandomForest,Points vs Australia,0.006520016767199063
Fielding,RandomForest,Points vs India,0.006386659956409639
Fielding,RandomForest,Points vs Zimbabwe,0.0063818200559026825
Fielding,RandomForest,Points vs Ireland,0.005672706159437044
Fielding,RandomForest,Points vs United Arab Emirates,0.0043857841366908516
Fielding,RandomForest,Points vs Netherlands,0.004196151168305864
Fielding,RandomForest,Points vs Scotland,0.003766303275136848
Fielding,RandomForest,Points vs Nepal,0.0028674095278927677
Fielding,RandomForest,Points vs Kenya,0.0028654947706065964
Fielding,RandomForest,Points vs Thailand,0.0025581773940446862
Fielding,RandomForest,Points vs Namibia,0.002510985311493735
Fielding,RandomForest,Points vs Hong Kong,0.0024538631085772988
Fielding,RandomForest,Points vs Canada,0.002259632828173832
Fielding,RandomForest,Points vs Oman,0.002223005400190345
Fielding,RandomForest,Points vs Malaysia,0.002034965673325808
Fielding,RandomForest,Points vs Germany,0.002002239166784002
Fielding,RandomForest,Points vs France,0.0019115808202634552
Fielding,RandomForest,Points vs Papua New Guinea,0.001909981757882879
Fielding,RandomForest,Points vs United States of America,0.001734008922388987
Fielding,RandomForest,Points vs Uganda,0.0016796372123939812
Fielding,RandomForest,Points vs Israel,0.0016619712666220306
Fielding,RandomForest,Points vs Austria,0.0015689372568404069
Fielding,RandomForest,Points vs Tanzania,0.0015575377644833988
Fielding,RandomForest,Points vs Qatar,0.0014977821432450634
Fielding,RandomForest,Points vs Sweden,0.0014636946980620608
Fielding,RandomForest,Points vs Singapore,0.0014269287365438902
Fielding,RandomForest,Points vs Norway,0.0013564983548182417
Fielding,RandomForest,Points vs Romania,0.0013341048528222794
Fielding,RandomForest,Points vs Italy,0.0013036768091126973
Fielding,RandomForest,Points vs Kuwait,0.0012922871889736994
Fielding,RandomForest,Points vs Hungary,0.0012300585767163268
Fielding,RandomForest,Points vs Spain,0.001197039422287435
Fielding,RandomForest,Points vs Luxembourg,0.0011936289772036426
Fielding,RandomForest,Points vs Nigeria,0.0011823444054775382
Fielding,RandomForest,Points vs Malta,0.0011715457048696943
Fielding,RandomForest,Points vs Belgium,0.0011680667063674204
Fielding,RandomForest,Points vs Bermuda,0.0011449565090536895
Fielding,RandomForest,Points vs Botswana,0.0011270536906878847
Fielding,RandomForest,Points vs Estonia,0.0010849581183466797
Fielding,RandomForest,Points vs Turkey,0.0010765700801842841
Fielding,RandomForest,Points vs Bahrain,0.001062770980713584
Fielding,RandomForest,Points vs Japan,0.0010524259443580705
Fielding,RandomForest,Points vs Bhutan,0.0010210189455172694
Fielding,RandomForest,Points vs Czech Republic,0.0010112389764402813
Fielding,RandomForest,Points vs Indonesia,0.0009986715373312084
Fielding,RandomForest,Points vs Rwanda,0.0009758215372423723
Fielding,RandomForest,Points vs Jersey,0.0009747368531286029
Fielding,RandomForest,Points vs Gibraltar,0.0009656527928349547
Fielding,RandomForest,Points vs Isle of Man,0.0009381230695147826
Fielding,RandomForest,Points vs Bulgaria,0.0009065908072143855
Fielding,RandomForest,Points vs Lesotho,0.0008757159040320989
Fielding,RandomForest,Points vs Switzerland,0.0008682910850380558
Fielding,RandomForest,Points vs Guernsey,0.0008614421858520428
Fielding,RandomForest,Points vs Cyprus,0.0008464704610507411
Fielding,RandomForest,Points vs Portugal,0.0008395936148846275
Fielding,RandomForest,Points vs Vanuatu,0.0008381224164531603
Fielding,RandomForest,Points vs Finland,0.0008115067443437281
Fielding,RandomForest,Points vs Mozambique,0.0008015962344107683
Fielding,RandomForest,Points vs Croatia,0.0007870464144580964
Fielding,RandomForest,Points vs Sierra Leone,0.0007808317567220262
Fielding,RandomForest,Points vs Denmark,0.0007789658570861609
Fielding,RandomForest,Points vs Saudi Arabia,0.0007740869863187269
Fielding,RandomForest,Points vs Brazil,0.0007620536945977934
Fielding,RandomForest,Points vs Cameroon,0.0007461152026804555
Fielding,RandomForest,Points vs Malawi,0.0007224964159558058
Fielding,RandomForest,Points vs Panama,0.0007199775058631679
Fielding,RandomForest,Points vs Maldives,0.0006873239718000597
Fielding,RandomForest,Points vs Samoa,0.0006432778417730523
Fielding,RandomForest,Points vs Eswatini,0.0006195910684204601
Fielding,RandomForest,Points vs ICC World XI,0.0006089308226997594
Fielding,RandomForest,Points vs Philippines,0.0006048297359434372
Fielding,RandomForest,Points vs Fiji,0.0005883158166772576
Fielding,RandomForest,Points vs China,0.0005719181372650647
Fielding,RandomForest,Points vs Greece,0.000560705814407861
Fielding,RandomForest,Points vs Cayman Islands,0.0005465415577464648
Fielding,RandomForest,Points vs Ghana,0.0005463957697811242
Fielding,RandomForest,Points vs Myanmar,0.0005322051540255329
Fielding,RandomForest,Points vs Cook Islands,0.0005267320861677934
Fielding,RandomForest,Points vs Bahamas,0.0005117574058761669
Fielding,RandomForest,Points vs Mongolia,0.0005091214184796693
Fielding,RandomForest,Points vs Argentina,0.0005082656181430436
Fielding,RandomForest,Points vs Mexico,0.000505660770181204
Fielding,RandomForest,Points vs Serbia,0.0005007204045065764
Fielding,RandomForest,Points vs Chile,0.0004920197435556281
Fielding,RandomForest,Points vs Mali,0.00044542221656631133
Fielding,RandomForest,Points vs Barbados,0.00043324430120607023
Fielding,RandomForest,Points vs Cambodia,0.00042384901712360046
Fielding,RandomForest,Points vs Slovenia,0.0004100823610199273
Fielding,RandomForest,Points vs Suriname,0.00039753237393538377
Fielding,RandomForest,Points vs Asia XI,0.0003597008517724249
Fielding,RandomForest,Points vs Gambia,0.0003425094289112407
Fielding,RandomForest,Points vs Belize,0.000332109374364526
Fielding,RandomForest,Points vs South Korea,0.00026494582041194085
Fielding,RandomForest,Points vs Seychelles,0.00026302755530882257
Fielding,RandomForest,Points vs Africa XI,0.00024550457409033073
Fielding,RandomForest,Points vs St Helena,0.00011692494704997144
Fielding,RandomForest,Points vs Ivory Coast,0.00010948009887201247
Fielding,RandomForest,Points vs Turks and Caicos Island,8.498449699795207e-05
Fielding,RandomForest,Points vs Costa Rica,7.190300672634505e-05
Fielding,RandomForest,Points vs Swaziland,4.071786073979314e-05
Fielding,RandomForest,Points vs Iran,1.599557060572132e-05
